source_id,HEALpixel level 5,w [mas],wsd [mas],wsd/w,glon for HEALpixel [deg],glat for HEALpixel [deg],rest [pc],rlo [pc],rhi [pc],rlen [pc]
28147497671505664,50,2.8079332799175054,0.44246357679367065,0.15757624298205186,164.23946,-40.75014,382.91428706584304,325.31240083434085,468.5089684404925,3.41901757752753e-06
28147570685745408,50,1.0369101750049532,0.8671544790267944,0.836286980232065,164.23946,-40.75014,1000.5171614851034,616.1297492060244,1876.6075657898184,3.41901757752753e-06
28147570686201344,50,0.9750552644906547,0.04154272750020028,0.042605510695746245,164.23946,-40.75014,1026.031917634688,980.5986006552347,1074.3080480227195,3.41901757752753e-06
28147600750721408,50,1.4275956341986589,0.49290695786476135,0.3452707097562966,164.23946,-40.75014,898.747839623524,607.1849904522621,1766.795062839654,3.41901757752753e-06
28147639405688448,50,0.7685955025293402,1.0689802169799805,1.3908228885832876,164.23946,-40.75014,1083.6557982233703,665.2755317317376,2089.0681468304515,3.41901757752753e-06
28147669470199168,50,-0.3392885183900632,0.5301414728164673,-1.5625093219540958,164.23946,-40.75014,2203.3586788925386,1406.8418258296263,3679.2603772408493,3.41901757752753e-06
28147738189676032,50,0.5378689313623228,0.1020592600107193,0.18974745344041719,164.23946,-40.75014,1843.7896352435387,1564.3754372844328,2228.7628338444592,3.41901757752753e-06
28147772549413632,50,6.922400528234771,0.18548479676246643,0.026794866319265913,164.23946,-40.75014,144.79056756224628,141.2453291525202,149.01957338420902,3.41901757752753e-06
28147944348107008,50,0.700792650300939,0.12316355109214783,0.17574891951172453,164.23946,-40.75014,1430.2820968242195,1217.4675273491025,1718.3630444138917,3.41901757752753e-06
28147978707845120,50,-0.6956046557148038,0.47292259335517883,-0.6798726682891495,164.23946,-40.75014,3158.003587909404,1861.6917796655869,5683.208025596431,3.41901757752753e-06
